key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
PBWBBXW,1911-04-29,0,Carolina Association,regular,,Winston-Salem,4,,Charlotte,5,,1600,2:16,,,,2,transcript/1911/1911-CO/boxes/CO-19110427.txt,"The Charlotte Observer, Apr 30, 1911",3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1
RDCQCZM,1911-04-29,0,Carolina Association,regular,,Spartanburg,1,,Greensboro,7,,900,1:48,,,,,transcript/1911/1911-CO/boxes/CO-19110427.txt,"The Charlotte Observer, Apr 30, 1911",0,0,0,1,0,0,0,0,0,,1,0,1,0,0,4,0,1,x,
VPSBFJV,1911-04-29,0,Carolina Association,regular,,Anderson,3,,Greenville,6,,950,2:03,,,,,transcript/1911/1911-CO/boxes/CO-19110427.txt,"The Charlotte Observer, Apr 30, 1911",1,0,2,0,0,0,0,0,0,,0,1,0,2,0,3,0,0,x,
RWQBVWD,1911-05-09,0,Carolina Association,regular,,Greenville,5,,Charlotte,6,,500,1:35,,,,,transcript/1911/1911-CO/boxes/CO-19110504.txt,"The Charlotte Observer, May 10, 1911",1,1,0,0,2,0,0,0,1,,0,0,2,0,0,4,0,0,x,
CCKBLTT,1911-05-09,0,Carolina Association,regular,,Winston-Salem,6,,Spartanburg,4,,600,2:00,,,,,transcript/1911/1911-CO/boxes/CO-19110504.txt,"The Charlotte Observer, May 10, 1911",0,2,0,1,1,0,0,2,0,,0,0,0,3,0,1,0,0,0,
QVFPJMT,1911-07-04,1,Carolina Association,regular,,Greensboro,2,,Winston-Salem,3,,2000,1:45,,,,,transcript/1911/1911-CO/boxes/CO-19110630.txt,The Charlotte Observer,2,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,x,
BSFVJFG,1911-07-08,0,Carolina Association,regular,,Anderson,0,,Winston-Salem,4,,750,1:45,,,,,transcript/1911/1911-CO/boxes/CO-19110707.txt,"The Charlotte Observer, Jul 9, 1911",0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,2,x,
XPRXVWX,1911-07-10,0,Carolina Association,regular,,Anderson,6,,Greensboro,16,,250,1:45,,,,,transcript/1911/1911-CO/boxes/CO-19110707.txt,"The Charlotte Observer, Jul 11, 1911",1,2,0,0,3,0,0,0,0,,1,0,3,6,4,0,2,0,x,
QBWHTPC,1911-07-11,0,Carolina Association,regular,,Anderson,4,,Greensboro,1,,175,1:50,,,,,transcript/1911/1911-CO/boxes/CO-19110707.txt,"The Charlotte Observer, Jul 12, 1911",1,2,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,
VMXXXWB,1911-07-12,0,Carolina Association,regular,,Anderson,1,,Greensboro,5,,250,1:30,,,,,transcript/1911/1911-CO/boxes/CO-19110707.txt,"The Charlotte Observer, Jul 13, 1911",0,0,0,0,0,1,0,0,0,,1,2,0,0,0,0,2,0,x,
MRDNSCB,1911-07-13,0,Carolina Association,regular,,Greenville,2,,Greensboro,4,,150,1:25,,,,2,transcript/1911/1911-CO/boxes/CO-19110707.txt,"The Charlotte News, Jul 14, 1911",0,0,0,0,0,0,2,,,,1,0,0,0,0,0,0,3,,
